public_id,screen_1,screen_1a___1,screen_1a___2,screen_1a___3,screen_1b,screen_1c,screen_2,screen_3,screen_3a___1,screen_3a___2,screen_3a___3,screen_3a___4,screen_3a___5,ss_1,ss_2,ss_3,ss_4,ss_5,ss_6,ss_7,ss_8,ss_9,ss_10,ss_11,ss_12,ps_1,ps_2,ps_3,ps_4,ps_5,ps_6,ps_7,ps_8,ps_9,ps_10,ps_11,ps_12,ps_13,ps_14,ps_15,ps_16,ps_17,ps_18,cn_1,cn_2,cn_3,cn_4___1,cn_4___2,cn_4___3,cn_4___4,cn_4___5,cn_4___6,cn_5___1,cn_5___2,cn_5___3,cn_5___4,cn_5___5,cn_5___6,cn_5___7,cn_5___8,cn_5___9,cn_6,cn_7,cn_8,bn_1,bn_2a,bn_2b,bn_2c,bn_2d,bn_2e,bn_2f,bn_2g,bn_3,bn_4,fh_1,fh_2,fh_3,fh_4,fh_5,fh_6,fh_7,fh_8___1,fh_8___2,fh_8___3,fh_8___4,fh_8___5,fh_8___6,fh_8___7,fh_8___8,ne_1,ne_2a,ne_2b,ne_2c,ne_2d,ne_2e,ne_2f,ne_2g,sassy_1,sassy_2,sassy_3,sassy_4,pa_1,pa_2,pa_3,pa_4,pa_5,pa_6,pa_7,pa_8,pa_9,pa_10,pa_11,pa_12,demo_3,demo_7,demo_8,demo_9___1,demo_9___2,demo_9___3,demo_9___4,demo_9___5,demo_9___6,demo_9___7,demo_9___8,demo_9___9,demo_9___10,demo_9___11,demo_9___12,demo_10,demo_11a,demo_11b,demo_12,demo_13,age_cat,gender,edu,race_eth,raw_weight,normalized_weight
328,1,1,0,0,2,4,16,0,0,0,0,0,0,7,6,7,7,5,6,6,5,5,7,6,4,5,4,3,4,2,3,5,5,4,3,3,2,4,3,2,3,5,5,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,1,1,3,2,1,1,1,3,2,2,1,1,2,2,2,NA,2,2,0,1,0,0,0,0,0,0,0,1,4,3,2,3,2,1,2,1,2,3,2,4,3,2,3,3,2,2,4,3,2,1,2,1,30,3,1,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,2,35-44,Male,Graduate/professional,White,1845.9897348581844,1.162155422341533
327,1,1,0,0,0,2,16,0,0,0,0,0,0,1,3,3,2,5,4,4,2,2,2,2,1,1,2,2,1,3,2,3,1,1,2,2,2,1,2,2,3,2,2,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1,2,2,3,NA,2,1,2,1,2,2,1,1,1,1,NA,1,0,1,0,0,1,1,0,1,2,2,4,3,3,3,2,2,2,1,1,2,4,3,3,2,4,3,3,3,4,3,3,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,45-54,Male,Some college/Associate,White,1658.2457587359786,1.043959922257052
917,1,1,0,0,0,1,16,0,0,0,0,0,0,6,4,5,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,5,4,4,4,3,3,3,3,3,3,3,4,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,3,2,3,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,2,0,0,0,0,0,0,0,0,1,1,3,3,3,3,4,3,3,2,2,2,2,3,3,4,3,3,3,3,3,3,3,4,3,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,2,25-34,Male,Bachelor's,White,1152.772591206096,0.725735844
827,1,1,1,0,0,1,16,0,0,0,0,0,0,7,6,6,6,6,6,6,6,6,5,5,5,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,NA,1,2,3,2,2,1,2,1,2,1,2,1,2,2,2,NA,2,2,0,0,0,0,0,0,0,0,1,1,4,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,3,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,8,4,4,3,2,35-44,Male,Some college/Associate,Black,593.2611986856509,0.3734916321028912
1013,1,1,1,0,0,2,16,0,0,0,0,0,0,5,6,6,6,5,5,6,5,5,6,5,6,4,5,5,4,4,4,5,4,5,4,4,5,4,5,4,4,NA,NA,0,0,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,2,2,3,2,1,1,2,1,2,1,2,0,3,3,2,NA,2,2,0,0,0,0,0,0,0,0,1,1,3,3,4,3,4,4,3,2,3,3,2,3,4,3,3,4,4,4,3,4,3,4,4,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,8,3,3,1,2,45-54,Male,Graduate/professional,White,2998.689882714506,1.8878456587869832
969,1,1,0,0,0,1,16,0,0,0,0,0,0,7,7,7,7,7,7,7,6,7,7,7,7,3,5,4,5,5,5,5,4,3,3,5,3,1,1,2,1,5,5,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,2,1,1,3,3,3,3,2,2,1,1,3,3,1,2,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2,4,1,1,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,6,4,4,2,2,45-54,Male,Bachelor's,White,2521.7078920207355,1.587558394791656
279,1,1,0,0,0,1,16,0,0,0,0,0,0,4,3,3,3,3,3,2,2,2,3,2,2,4,4,4,4,5,5,5,5,3,3,2,2,1,1,2,2,5,5,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,2,4,1,2,2,2,3,2,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4,4,4,4,3,4,3,3,3,3,20,2,1,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,2,45-54,Female,Some college/Associate,White,1486.056842881835,0.9355572164086494
424,1,1,0,0,0,2,16,0,0,0,0,0,0,4,5,5,4,4,6,6,6,7,4,5,7,4,5,3,5,3,5,3,3,5,4,5,3,3,5,4,3,4,5,1,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,4,2,2,3,2,2,3,2,2,3,3,0,2,2,1,2,1,1,0,0,0,0,0,0,0,0,1,2,3,4,3,4,3,4,3,1,2,1,2,3,4,3,4,3,4,3,3,4,4,3,4,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,2,35-44,Female,HS diploma/GED or less,Black,901.0927926,0.5672891106216092
640,1,1,0,0,0,1,16,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,4,5,5,5,5,2,2,2,2,2,2,2,2,5,5,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,4,1,1,1,1,1,1,1,3,0,2,2,1,3,2,1,1,1,1,0,1,0,0,0,0,4,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,2,35-44,Female,HS diploma/GED or less,Black,901.0927926,0.5672891106216092
770,1,1,0,0,1,1,16,0,0,0,0,0,0,6,5,5,6,5,4,5,5,6,4,5,5,4,4,3,3,4,4,3,4,4,4,3,3,4,4,4,3,4,4,1,0,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,2,2,2,3,2,3,2,2,3,2,3,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,3,3,3,3,2,3,1,1,2,2,4,3,3,3,2,3,3,2,3,3,3,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,8,4,4,1,2,25-34,Male,HS diploma/GED or less,Black,746.6793253,0.47007705959291696
